2022.11.11 15:47:13,613	INFO	1	org.l2jmobius.commons.database.DatabaseFactory	Database: Initialized.
2022.11.11 15:47:13,727	INFO	1	org.l2jmobius.loginserver.LoginController	Loading LoginController...
2022.11.11 15:47:14,610	INFO	1	org.l2jmobius.loginserver.LoginController	Cached 10 KeyPairs for RSA communication.
2022.11.11 15:47:14,797	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 127 server names.
2022.11.11 15:47:14,805	INFO	1	org.l2jmobius.loginserver.GameServerTable	Loaded 2 registered Game Servers.
2022.11.11 15:47:14,901	INFO	1	org.l2jmobius.loginserver.GameServerTable	Cached 10 RSA keys for Game Server communication.
2022.11.11 15:47:14,907	INFO	1	org.l2jmobius.loginserver.LoginServer	Loaded 2 IP Bans.
2022.11.11 15:47:14,916	INFO	1	org.l2jmobius.loginserver.LoginServer	Listening for GameServers on 127.0.0.1:9014
2022.11.11 15:47:15,411	INFO	1	org.l2jmobius.commons.network.NetworkManager	ClientNetworkManager: Listening on 0.0.0.0:2106
2022.11.11 15:49:51,227	INFO	22	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2022.11.11 15:49:51,258	INFO	22	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.11.11 15:49:51,260	INFO	22	org.l2jmobius.loginserver.GameServerThread	192.168.0.163/192.168.0.0/24
2022.11.11 15:49:51,262	INFO	22	org.l2jmobius.loginserver.GameServerThread	85.115.173.142/0.0.0.0/0
2022.11.11 16:29:10,386	INFO	22	org.l2jmobius.loginserver.GameServerThread	GameServer [1] Bartz: Connection lost: Connection reset
2022.11.11 16:29:10,396	INFO	22	org.l2jmobius.loginserver.GameServerThread	Server [1] Bartz is now set as disconnected.
2022.11.11 16:33:32,881	INFO	31	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2022.11.11 16:33:32,960	INFO	31	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.11.11 16:33:32,973	INFO	31	org.l2jmobius.loginserver.GameServerThread	192.168.0.163/192.168.0.0/24
2022.11.11 16:33:32,975	INFO	31	org.l2jmobius.loginserver.GameServerThread	85.115.173.142/0.0.0.0/0
2022.11.11 16:37:10,013	INFO	31	org.l2jmobius.loginserver.GameServerThread	GameServer [1] Bartz: Connection lost: Connection reset
2022.11.11 16:37:10,014	INFO	31	org.l2jmobius.loginserver.GameServerThread	Server [1] Bartz is now set as disconnected.
2022.11.11 16:41:54,039	INFO	34	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2022.11.11 16:41:54,072	INFO	34	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.11.11 16:41:54,075	INFO	34	org.l2jmobius.loginserver.GameServerThread	192.168.0.163/192.168.0.0/24
2022.11.11 16:41:54,075	INFO	34	org.l2jmobius.loginserver.GameServerThread	85.115.173.142/0.0.0.0/0
2022.11.11 16:55:31,662	INFO	34	org.l2jmobius.loginserver.GameServerThread	GameServer [1] Bartz: Connection lost: Connection reset
2022.11.11 16:55:31,665	INFO	34	org.l2jmobius.loginserver.GameServerThread	Server [1] Bartz is now set as disconnected.
2022.11.11 17:09:11,826	INFO	42	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2022.11.11 17:09:11,875	INFO	42	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.11.11 17:09:11,876	INFO	42	org.l2jmobius.loginserver.GameServerThread	192.168.0.163/192.168.0.0/24
2022.11.11 17:09:11,877	INFO	42	org.l2jmobius.loginserver.GameServerThread	85.115.173.142/0.0.0.0/0
2022.11.11 19:00:00,756	INFO	42	org.l2jmobius.loginserver.GameServerThread	GameServer [1] Bartz: Connection lost: Connection reset
2022.11.11 19:00:00,773	INFO	42	org.l2jmobius.loginserver.GameServerThread	Server [1] Bartz is now set as disconnected.
2022.11.11 19:03:47,075	INFO	76	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2022.11.11 19:03:47,214	INFO	76	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2022.11.11 19:03:47,216	INFO	76	org.l2jmobius.loginserver.GameServerThread	192.168.0.163/192.168.0.0/24
2022.11.11 19:03:47,217	INFO	76	org.l2jmobius.loginserver.GameServerThread	85.115.173.142/0.0.0.0/0
